hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 1.00000, 2506.35, -0.037719, 2516.35, -118.839, 2499.94, 120.963, 261.939, -179.436, 260.367, 61.7315, 262.757, -58.5095
0, 2.00000, 2506.35, -0.0377906, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.767, -58.5092
0, 3.00000, 2506.35, -0.0377913, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 4.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 5.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 6.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 7.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 8.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 9.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 10.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 11.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 12.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 13.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
0, 14.00000, 2506.35, -0.0377912, 2516.35, -118.839, 2499.94, 120.963, 261.935, -179.435, 260.361, 61.7312, 262.766, -58.5092
